,date,imoex,SBER,GAZP,LKOH,SBERP,GMKN,NVTK,YNDX,TATN,TATNP,SNGS,POLY,ROSN,TCSG,PLZL,SNGSP,MGNT,MTSS,ALRS,PHOR,PIKK,RUAL,VTBR,FIVE,NLMK,CHMF,IRAO,MOEX,MAIL,MAGN,OZON,RTKM,TRNFP,FIXP,DSKY,HYDR,AGRO,AFLT,POGR,VKCO,AFKS,ENPG,MFON,MFON*,CBOM,HHRU,FEES,FLOT,RNFT,LNTA,LSRG,MTLR,UPRO,SFIN,GLTR,TRMK,MVID,QIWI,SGZH,SELG,MTLRP,NMTP,RSTI,POSI,SMLT,UWGN,MSNG
0,2003-01-01,307.78,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41,450.41
1,2003-02-01,341.52,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5
2,2003-03-01,325.56,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12,431.12
3,2003-04-01,369.77,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1,536.1
4,2003-05-01,421.08,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
5,2003-06-01,455.44,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6,598.6
6,2003-07-01,430.3,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1,539.1
7,2003-08-01,484.0,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99,595.99
8,2003-09-01,515.17,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9,625.9
9,2003-10-01,468.85,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5,609.5
10,2003-11-01,484.73,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32,642.32
