,date,imoex,SBER,GAZP,LKOH,SBERP,GMKN,NVTK,YNDX,TATN,TATNP,SNGS,POLY,ROSN,TCSG,PLZL,SNGSP,MGNT,MTSS,ALRS,PHOR,PIKK,RUAL,VTBR,NLMK,CHMF,IRAO,MAGN,RTKM,TRNFP,HYDR,AGRO,AFLT,AFKS,MFON,CBOM,FEES,LNTA,LSRG,MTLR,UPRO,TRMK,MVID,QIWI,SELG,MTLRP,NMTP,RSTI,UWGN,MSNG
0,2003-01-01,307.78,6040.0,,450.41,70.36,773.0,,,24.49,14.25,9.445,,,,,6.974,,,,,,,,,,,,36.07,10820.0,,,10.97,,,,,,,,,,,,,,,,,1.113
1,2003-02-01,341.52,6668.0,,472.5,86.85,789.9,,,26.55,15.45,10.125,,,,,7.281,,,,,,,,,,,,42.88,11350.0,,,11.16,,,,,,,,,,,,,,,,,1.341
2,2003-03-01,325.56,6420.0,,431.12,101.1,748.0,,,26.4,14.79,9.199,,,,,6.666,,,,,,,,,,,,40.98,11199.99,,,10.93,,,,,,,,,,,,,,,,,1.582
3,2003-04-01,369.77,7052.0,,536.1,117.1,715.0,,,27.03,15.988,12.32,,,,,7.2,,,,,,,,,,,,43.85,11599.99,,,10.5,,,,,,,,,,,,,,,,,2.15
4,2003-05-01,421.08,8070.0,,560.0,113.2,853.0,,,33.02,15.97,12.73,,,,,7.751,,,,,,,,,,,,55.29,12788.0,,,11.9,,,,,,,,,,,,,,,,,2.111
5,2003-06-01,455.44,8414.0,,598.6,121.38,1051.0,,,28.8,15.37,12.66,,,,,7.75,,,,,,,,,,,,53.04,12430.0,,,11.0,,,,,,,,,,,,,,,,,2.221
6,2003-07-01,430.3,7688.0,,539.1,110.0,1136.0,,,28.34,14.09,11.48,,,,,6.906,,,,,,,,,,,,48.11,10851.0,,,11.1,,,,,,,,,,,,,,,,,1.933
7,2003-08-01,484.0,7765.0,,595.99,114.22,1204.79,,,34.81,17.5,13.17,,,,,8.23,,,,,,,,,,,,53.18,12400.0,,,13.8,,,,,,,,,,,,,,,,,2.113
8,2003-09-01,515.17,8020.0,,625.9,115.9,1512.0,,,33.39,18.0,13.904,,,,,8.65,,,,,,,,,,,,52.3,14005.0,,,15.08,,,,,,,,,,,,,,,,,2.071
9,2003-10-01,468.85,7706.9,,609.5,113.99,1578.5,,,31.4,17.34,14.706,,,,,9.819,,114.0,,,,,,,,,,54.44,14830.0,,,15.62,,,,,,,,,,,,,,,,,2.034
